Airline,Source,Destination,Duration,Total_Stops,Journey_Day,Journey_Month,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Journey_Date,Is_Peak_Hour,Price
Vistara,Chennai,Kolkata,135,0,18,6,7,5,9,20,18-06-2019,0,3687
Air India,Kolkata,Banglore,805,2,1,5,9,50,23,15,01-05-2019,1,13227
IndiGo,Banglore,Delhi,170,0,6,4,4,0,6,50,06-04-2019,0,4423
Jet Airways,Delhi,Cochin,1320,2,15,6,14,35,12,35,15-06-2019,1,10919
Jet Airways,Delhi,Cochin,330,1,18,5,7,5,12,35,18-05-2019,0,12373
IndiGo,Delhi,Cochin,625,1,27,6,10,35,21,0,27-06-2019,1,5894
SpiceJet,Kolkata,Banglore,315,1,21,5,15,5,20,20,21-05-2019,1,4649
Air India,Kolkata,Banglore,150,0,18,5,14,15,16,45,18-05-2019,1,6245
Jet Airways,Banglore,New Delhi,375,1,6,3,7,0,13,15,06-03-2019,0,19225
Jet Airways,Delhi,Cochin,715,1,3,6,7,5,19,0,03-06-2019,0,14924
Multiple carriers,Delhi,Cochin,665,1,21,5,7,5,18,10,21-05-2019,0,9646
Air India,Banglore,New Delhi,510,1,15,3,6,45,15,15,15-03-2019,0,8714
Jet Airways,Delhi,Cochin,1325,1,18,5,20,55,19,0,18-05-2019,1,12373
Air Asia,Banglore,Delhi,165,0,6,5,11,10,13,55,06-05-2019,1,3383
Multiple carriers,Delhi,Cochin,720,1,21,3,9,0,21,0,21-03-2019,1,13062
SpiceJet,Banglore,New Delhi,170,0,24,3,5,45,8,35,24-03-2019,0,3527
IndiGo,Banglore,Delhi,170,0,27,5,4,0,6,50,27-05-2019,0,3943
Air India,Chennai,Kolkata,135,0,3,5,11,40,13,55,03-05-2019,1,4667
Air India,Kolkata,Banglore,965,1,15,5,19,0,11,5,15-05-2019,1,6117
Jet Airways,Delhi,Cochin,1195,2,27,6,23,5,19,0,27-06-2019,0,11150
Jet Airways,Delhi,Cochin,195,0,9,3,11,0,14,15,09-03-2019,1,7202
Jet Airways,Kolkata,Banglore,1520,1,1,5,9,35,10,55,01-05-2019,1,12121
IndiGo,Banglore,New Delhi,170,0,24,3,22,20,1,10,24-03-2019,0,4377
IndiGo,Banglore,Delhi,180,0,18,6,21,15,0,15,18-06-2019,1,3943
Air Asia,Banglore,Delhi,170,0,3,4,23,55,2,45,03-04-2019,0,4483
Jet Airways,Kolkata,Banglore,975,1,24,3,19,45,12,0,24-03-2019,1,14231
Air India,Banglore,New Delhi,905,2,1,3,8,50,23,55,01-03-2019,0,17345
Vistara,Chennai,Kolkata,135,0,6,3,7,5,9,20,06-03-2019,0,7414
Multiple carriers,Delhi,Cochin,390,1,6,5,19,0,1,30,06-05-2019,1,8073
Vistara,Mumbai,Hyderabad,1505,1,6,3,15,40,16,45,06-03-2019,1,12395
Air India,Kolkata,Banglore,745,1,6,6,9,25,21,50,06-06-2019,1,8366
Air India,Delhi,Cochin,1640,1,3,4,6,5,9,25,03-04-2019,0,5117
Multiple carriers,Delhi,Cochin,615,1,3,6,8,45,19,0,03-06-2019,0,12524
IndiGo,Delhi,Cochin,630,1,15,5,15,0,1,30,15-05-2019,1,7191
Vistara,Chennai,Kolkata,135,0,24,5,7,5,9,20,24-05-2019,0,3687
IndiGo,Delhi,Cochin,625,1,24,6,10,35,21,0,24-06-2019,1,5894
Vistara,Banglore,Delhi,170,0,24,4,9,45,12,35,24-04-2019,1,5403
Air India,Mumbai,Hyderabad,90,0,6,5,13,55,15,25,06-05-2019,1,3625
Air India,Delhi,Cochin,800,2,21,5,5,55,19,15,21-05-2019,0,10861
IndiGo,Chennai,Kolkata,135,0,12,3,13,20,15,35,12-03-2019,1,6297
Jet Airways,Mumbai,Hyderabad,85,0,1,6,7,5,8,30,01-06-2019,0,5678
Jet Airways,Banglore,New Delhi,1590,1,9,3,5,45,8,15,09-03-2019,0,9134
Multiple carriers,Delhi,Cochin,440,1,24,6,11,40,19,0,24-06-2019,1,10791
Jet Airways,Delhi,Cochin,810,2,24,6,23,5,12,35,24-06-2019,0,12819
IndiGo,Delhi,Cochin,300,1,21,3,5,5,10,5,21-03-2019,0,6893
Vistara,Banglore,New Delhi,165,0,9,3,9,50,12,35,09-03-2019,1,7240
GoAir,Banglore,Delhi,170,0,3,4,11,40,14,30,03-04-2019,1,3898
IndiGo,Mumbai,Hyderabad,90,0,3,4,6,25,7,55,03-04-2019,0,4049
Jet Airways,Delhi,Cochin,1145,1,15,6,17,30,12,35,15-06-2019,1,10262
SpiceJet,Chennai,Kolkata,135,0,21,3,8,20,10,35,21-03-2019,0,3332
Jet Airways,Kolkata,Banglore,890,1,9,6,21,10,12,0,09-06-2019,1,10844
Jet Airways,Banglore,New Delhi,160,0,24,3,19,55,22,35,24-03-2019,1,7229
Jet Airways,Kolkata,Banglore,1330,1,6,5,6,30,4,40,06-05-2019,0,13941
IndiGo,Delhi,Cochin,575,1,27,6,11,25,21,0,27-06-2019,1,5894
Multiple carriers,Delhi,Cochin,600,1,18,5,9,0,19,0,18-05-2019,1,10197
Jet Airways,Banglore,New Delhi,1280,1,6,3,14,5,11,25,06-03-2019,1,13712
IndiGo,Delhi,Cochin,325,1,24,6,2,0,7,25,24-06-2019,0,5636
Jet Airways,Delhi,Cochin,1125,2,6,6,9,40,4,25,06-06-2019,1,13014
Jet Airways,Kolkata,Banglore,740,1,1,4,8,25,20,45,01-04-2019,0,7064
Jet Airways,Kolkata,Banglore,1080,1,24,5,20,25,14,25,24-05-2019,1,10703
Multiple carriers,Delhi,Cochin,555,1,27,5,13,15,22,30,27-05-2019,1,9646
Multiple carriers,Delhi,Cochin,665,1,6,3,2,15,13,20,06-03-2019,0,17057
Jet Airways,Banglore,New Delhi,1050,1,12,3,16,55,10,25,12-03-2019,1,13817
Air India,Delhi,Cochin,800,2,6,3,5,55,19,15,06-03-2019,0,13748
Air India,Kolkata,Banglore,155,0,21,4,20,45,23,20,21-04-2019,1,4880
IndiGo,Chennai,Kolkata,145,0,21,6,5,15,7,40,21-06-2019,0,3540
SpiceJet,Banglore,Delhi,160,0,15,5,5,55,8,35,15-05-2019,0,3257
Jet Airways,Banglore,Delhi,180,0,3,6,19,50,22,50,03-06-2019,1,6478
Jet Airways,Mumbai,Hyderabad,85,0,18,6,7,5,8,30,18-06-2019,0,8040
Jet Airways,Delhi,Cochin,995,2,12,6,20,0,12,35,12-06-2019,1,14300
Jet Airways,Kolkata,Banglore,740,1,15,5,8,25,20,45,15-05-2019,0,14781
Jet Airways,Kolkata,Banglore,735,1,9,6,20,0,8,15,09-06-2019,1,14939
Jet Airways,Delhi,Cochin,450,1,24,6,20,55,4,25,24-06-2019,1,10262
Air India,Kolkata,Banglore,1440,1,12,5,14,35,14,35,12-05-2019,1,6528
Air India,Banglore,Delhi,165,0,1,5,6,10,8,55,01-05-2019,0,6121
Jet Airways,Delhi,Cochin,535,2,18,5,19,30,4,25,18-05-2019,1,13029
Multiple carriers,Delhi,Cochin,430,1,27,3,11,40,18,50,27-03-2019,1,11421
Multiple carriers,Delhi,Cochin,870,1,27,3,4,45,19,15,27-03-2019,0,7574
Air India,Delhi,Cochin,1820,2,9,5,12,55,19,15,09-05-2019,1,11596
Jet Airways,Delhi,Cochin,1195,2,24,5,23,5,19,0,24-05-2019,0,15129
Jet Airways,Banglore,New Delhi,900,1,18,3,14,5,5,5,18-03-2019,1,13555
IndiGo,Banglore,Delhi,175,0,12,4,18,55,21,50,12-04-2019,1,5780
Vistara,Kolkata,Banglore,765,1,12,5,20,20,9,5,12-05-2019,1,9397
Jet Airways,Delhi,Cochin,610,1,6,3,18,15,4,25,06-03-2019,1,17024
GoAir,Delhi,Cochin,355,1,27,6,7,0,12,55,27-06-2019,0,5281
Multiple carriers,Delhi,Cochin,925,1,18,5,7,5,22,30,18-05-2019,0,10348
Air India,Delhi,Cochin,965,1,6,3,17,20,9,25,06-03-2019,1,12677
Multiple carriers,Delhi,Cochin,610,1,3,3,15,25,1,35,03-03-2019,1,15147
Vistara,Banglore,Delhi,160,0,12,6,7,0,9,40,12-06-2019,0,4668
Jet Airways,Delhi,Cochin,715,1,9,5,7,5,19,0,09-05-2019,0,15554
SpiceJet,Banglore,Delhi,160,0,9,4,5,55,8,35,09-04-2019,0,3971
Air India,Mumbai,Hyderabad,85,0,3,5,15,0,16,25,03-05-2019,1,3100
Jet Airways,Kolkata,Banglore,845,1,6,5,20,0,10,5,06-05-2019,1,9663
Air India,Delhi,Cochin,1215,1,1,3,23,0,19,15,01-03-2019,0,27430
IndiGo,Chennai,Kolkata,145,0,12,5,5,15,7,40,12-05-2019,0,3540
Air India,Kolkata,Banglore,1390,2,21,5,12,0,11,10,21-05-2019,1,10676
Jet Airways,Kolkata,Banglore,1090,1,12,6,14,5,8,15,12-06-2019,1,13044
Jet Airways,Kolkata,Banglore,960,1,6,5,20,0,12,0,06-05-2019,1,14388
IndiGo,Banglore,Delhi,170,0,24,6,4,0,6,50,24-06-2019,0,3943
IndiGo,Chennai,Kolkata,140,0,3,6,14,45,17,5,03-06-2019,1,3597
Air India,Banglore,New Delhi,480,1,21,3,11,50,19,50,21-03-2019,1,5932
Jet Airways,Delhi,Cochin,1015,1,15,6,11,30,4,25,15-06-2019,1,10262
Vistara,Delhi,Cochin,190,0,12,5,14,40,17,50,12-05-2019,1,6216
IndiGo,Kolkata,Banglore,165,0,15,6,20,25,23,10,15-06-2019,1,4804
Multiple carriers,Delhi,Cochin,840,1,21,5,11,30,1,30,21-05-2019,1,14067
Jet Airways,Delhi,Cochin,1430,2,18,5,19,10,19,0,18-05-2019,1,15129
Jet Airways,Delhi,Cochin,1300,2,6,6,6,45,4,25,06-06-2019,0,13376
Air India,Delhi,Cochin,1275,2,27,6,22,0,19,15,27-06-2019,0,10441
Jet Airways,Banglore,Delhi,165,0,24,5,6,0,8,45,24-05-2019,0,4030
Jet Airways,Delhi,Cochin,650,1,3,3,8,0,18,50,03-03-2019,0,17024
Multiple carriers,Delhi,Cochin,480,1,9,4,17,30,1,30,09-04-2019,1,13017
GoAir,Kolkata,Banglore,495,1,6,6,23,30,7,45,06-06-2019,0,6686
IndiGo,Delhi,Cochin,325,1,15,6,2,0,7,25,15-06-2019,0,5636
IndiGo,Delhi,Cochin,515,1,9,6,7,35,16,10,09-06-2019,0,6442
Multiple carriers,Delhi,Cochin,710,1,21,5,13,5,0,55,21-05-2019,1,9486
Jet Airways,Kolkata,Banglore,1655,1,21,5,20,0,23,35,21-05-2019,1,10844
Jet Airways,Delhi,Cochin,505,2,3,6,20,0,4,25,03-06-2019,1,15318
Air India,Delhi,Cochin,1255,1,3,4,12,30,9,25,03-04-2019,1,5117
IndiGo,Delhi,Cochin,290,1,24,6,15,10,20,0,24-06-2019,1,6147
Multiple carriers,Delhi,Cochin,490,1,9,6,12,50,21,0,09-06-2019,1,7005
SpiceJet,Kolkata,Banglore,140,0,3,4,22,20,0,40,03-04-2019,0,3873
Jet Airways,Delhi,Cochin,1465,2,21,3,18,25,18,50,21-03-2019,1,9270
GoAir,Banglore,Delhi,170,0,27,6,11,40,14,30,27-06-2019,1,3898
Jet Airways,Kolkata,Banglore,740,1,12,5,8,25,20,45,12-05-2019,0,14781
Jet Airways,Kolkata,Banglore,735,1,24,5,20,0,8,15,24-05-2019,1,8586
Air India,Kolkata,Banglore,1415,2,9,5,8,20,7,55,09-05-2019,0,10697
Jet Airways,Delhi,Cochin,995,2,27,6,20,0,12,35,27-06-2019,1,14300
IndiGo,Banglore,New Delhi,170,0,3,3,18,55,21,45,03-03-2019,1,8855
Jet Airways,Kolkata,Banglore,1545,1,12,5,16,30,18,15,12-05-2019,1,10844
Jet Airways,Delhi,Cochin,1570,1,6,3,2,15,4,25,06-03-2019,0,17024
Jet Airways,Kolkata,Banglore,1730,1,1,5,9,35,14,25,01-05-2019,1,9314
IndiGo,Banglore,New Delhi,165,0,24,3,0,40,3,25,24-03-2019,0,4777
Air India,Kolkata,Banglore,1515,1,9,6,12,0,13,15,09-06-2019,1,7662
IndiGo,Delhi,Cochin,560,1,9,5,6,50,16,10,09-05-2019,0,6442
SpiceJet,Delhi,Cochin,270,1,12,6,8,45,13,15,12-06-2019,0,5264
Jet Airways,Delhi,Cochin,925,1,27,5,13,0,4,25,27-05-2019,1,12898
Air India,Mumbai,Hyderabad,90,0,3,3,13,55,15,25,03-03-2019,1,6092
SpiceJet,Banglore,Delhi,160,0,21,5,5,55,8,35,21-05-2019,0,3311
Jet Airways,Delhi,Cochin,550,1,27,3,19,15,4,25,27-03-2019,1,6540
IndiGo,Banglore,Delhi,165,0,27,5,1,30,4,15,27-05-2019,0,3419
Jet Airways,Delhi,Cochin,1355,1,3,4,14,0,12,35,03-04-2019,1,5177
Air India,Delhi,Cochin,185,0,18,4,18,5,21,10,18-04-2019,1,8246
Jet Airways,Kolkata,Banglore,690,1,9,6,9,35,21,5,09-06-2019,1,14676
Multiple carriers,Delhi,Cochin,570,1,27,6,11,30,21,0,27-06-2019,1,13587
Jet Airways,Kolkata,Banglore,730,1,6,5,21,10,9,20,06-05-2019,1,9663
Jet Airways,Kolkata,Banglore,1055,1,12,6,16,30,10,5,12-06-2019,1,13044
IndiGo,Delhi,Cochin,305,1,3,4,20,25,1,30,03-04-2019,1,5073
Vistara,Kolkata,Banglore,1550,1,21,5,17,0,18,50,21-05-2019,1,9345
Jet Airways,Kolkata,Banglore,1200,1,6,5,14,5,10,5,06-05-2019,1,9663
Multiple carriers,Delhi,Cochin,780,1,21,5,8,0,21,0,21-05-2019,0,14277
Jet Airways,Delhi,Cochin,1105,1,1,6,10,0,4,25,01-06-2019,1,10262
Jet Airways,Mumbai,Hyderabad,90,0,27,3,19,35,21,5,27-03-2019,1,5678
Multiple carriers,Delhi,Cochin,570,1,15,5,16,0,1,30,15-05-2019,1,13727
Jet Airways,Kolkata,Banglore,960,1,6,5,20,0,12,0,06-05-2019,1,9663
IndiGo,Chennai,Kolkata,140,0,12,5,14,45,17,5,12-05-2019,1,3858
SpiceJet,Delhi,Cochin,270,1,24,6,8,45,13,15,24-06-2019,0,4812
IndiGo,Delhi,Cochin,345,1,27,6,21,50,3,35,27-06-2019,1,5775
Jet Airways,Kolkata,Banglore,1450,1,6,6,9,35,9,45,06-06-2019,1,10539
IndiGo,Kolkata,Banglore,155,0,3,6,15,30,18,5,03-06-2019,1,4804
Air Asia,Banglore,Delhi,165,0,12,6,11,10,13,55,12-06-2019,1,3383
IndiGo,Banglore,New Delhi,295,1,3,3,12,10,17,5,03-03-2019,1,8738
Air India,Delhi,Cochin,1535,1,27,3,5,15,6,50,27-03-2019,0,7165
IndiGo,Delhi,Cochin,380,1,24,6,16,10,22,30,24-06-2019,1,6412
Jet Airways,Banglore,Delhi,185,0,27,6,18,55,22,0,27-06-2019,1,8016
Jet Airways,Banglore,New Delhi,1120,1,12,3,20,35,15,15,12-03-2019,1,11087
SpiceJet,Chennai,Kolkata,135,0,27,6,9,45,12,0,27-06-2019,1,3543
Jet Airways,Kolkata,Banglore,730,1,12,6,16,30,4,40,12-06-2019,1,12471
Jet Airways,Delhi,Cochin,1165,1,24,6,9,0,4,25,24-06-2019,1,10262
Air India,Banglore,New Delhi,170,0,18,3,13,20,16,10,18-03-2019,1,4441
Multiple carriers,Delhi,Cochin,505,1,27,3,7,5,15,30,27-03-2019,0,12537
GoAir,Kolkata,Banglore,555,1,24,3,22,25,7,40,24-03-2019,0,10091
Air India,Banglore,Delhi,170,0,3,6,21,5,23,55,03-06-2019,1,6961
IndiGo,Delhi,Cochin,195,0,24,4,5,35,8,50,24-04-2019,0,5013
Air India,Delhi,Cochin,170,0,18,5,5,10,8,0,18-05-2019,0,6934
Multiple carriers,Delhi,Cochin,740,1,3,6,6,40,19,0,03-06-2019,0,10877
Jet Airways,Banglore,Delhi,175,0,18,4,15,15,18,10,18-04-2019,1,7229
IndiGo,Delhi,Cochin,575,1,27,3,16,0,1,35,27-03-2019,1,7048
Vistara,Banglore,Delhi,155,0,27,6,17,0,19,35,27-06-2019,1,4878
Jet Airways,Kolkata,Banglore,570,1,21,5,14,5,23,35,21-05-2019,1,10844
Jet Airways,Delhi,Cochin,1760,2,18,5,23,5,4,25,18-05-2019,0,15129
IndiGo,Banglore,Delhi,175,0,12,5,0,30,3,25,12-05-2019,0,3943
SpiceJet,Delhi,Cochin,315,1,6,6,6,5,11,20,06-06-2019,0,5583
Multiple carriers,Delhi,Cochin,545,1,6,6,7,5,16,10,06-06-2019,0,9646
Multiple carriers,Delhi,Cochin,645,1,3,6,8,30,19,15,03-06-2019,0,7677
IndiGo,Delhi,Cochin,295,1,1,6,5,10,10,5,01-06-2019,0,6842
Jet Airways,Mumbai,Hyderabad,90,0,24,6,8,45,10,15,24-06-2019,0,4995
Vistara,Kolkata,Banglore,700,1,9,6,7,10,18,50,09-06-2019,0,9555
IndiGo,Banglore,Delhi,165,0,1,6,1,30,4,15,01-06-2019,0,4077
Jet Airways,Banglore,Delhi,175,0,12,5,15,15,18,10,12-05-2019,1,7229
Multiple carriers,Delhi,Cochin,600,1,9,6,9,0,19,0,09-06-2019,1,12192
Air India,Banglore,Delhi,165,0,12,4,10,0,12,45,12-04-2019,1,5911
Air India,Delhi,Cochin,615,1,12,6,9,0,19,15,12-06-2019,1,8372
Jet Airways,Mumbai,Hyderabad,85,0,18,3,7,10,8,35,18-03-2019,0,4995
Multiple carriers,Delhi,Cochin,555,1,9,5,10,0,19,15,09-05-2019,1,14323
Jet Airways,Delhi,Cochin,1375,2,9,6,5,30,4,25,09-06-2019,0,13014
Air India,Delhi,Cochin,1730,2,6,6,14,25,19,15,06-06-2019,1,13591
Jet Airways,Delhi,Cochin,2245,2,3,3,5,25,18,50,03-03-2019,0,18799
IndiGo,Banglore,Delhi,170,0,27,4,23,30,2,20,27-04-2019,0,3943
SpiceJet,Mumbai,Hyderabad,90,0,21,5,5,45,7,15,21-05-2019,0,1965
Jet Airways,Mumbai,Hyderabad,90,0,27,5,10,20,11,50,27-05-2019,1,4995
Air India,Kolkata,Banglore,1540,1,24,3,16,50,18,30,24-03-2019,1,14641
Air India,Kolkata,Banglore,155,0,12,4,20,45,23,20,12-04-2019,1,4460
Air India,Delhi,Cochin,375,1,18,5,13,0,19,15,18-05-2019,1,10191
Jet Airways,Delhi,Cochin,1050,1,9,3,2,15,19,45,09-03-2019,0,13843
IndiGo,Delhi,Cochin,345,1,1,5,21,50,3,35,01-05-2019,1,6349
Air Asia,Kolkata,Banglore,155,0,1,5,10,20,12,55,01-05-2019,1,4409
Jet Airways,Delhi,Cochin,1530,1,6,3,18,15,19,45,06-03-2019,1,17024
Multiple carriers,Delhi,Cochin,835,1,18,5,7,5,21,0,18-05-2019,0,13727
IndiGo,Banglore,New Delhi,175,0,15,3,18,25,21,20,15-03-2019,1,8855
Multiple carriers,Delhi,Cochin,615,1,24,6,8,45,19,0,24-06-2019,0,12524
Jet Airways,Banglore,New Delhi,520,1,18,3,11,40,20,20,18-03-2019,1,13555
Jet Airways,Kolkata,Banglore,330,1,6,6,6,30,12,0,06-06-2019,0,10844
Multiple carriers,Delhi,Cochin,720,1,9,6,9,0,21,0,09-06-2019,1,13587
SpiceJet,Chennai,Kolkata,135,0,12,6,9,45,12,0,12-06-2019,1,3543
Vistara,Chennai,Kolkata,135,0,18,3,7,5,9,20,18-03-2019,0,4842
IndiGo,Banglore,Delhi,170,0,24,4,23,30,2,20,24-04-2019,0,3943
Jet Airways,Delhi,Cochin,550,1,9,6,19,15,4,25,09-06-2019,1,10577
IndiGo,Delhi,Cochin,625,1,15,5,10,35,21,0,15-05-2019,1,6979
Vistara,Chennai,Kolkata,140,0,27,6,17,45,20,5,27-06-2019,1,11982
SpiceJet,Delhi,Cochin,270,1,6,6,8,45,13,15,06-06-2019,0,5264
Vistara,Delhi,Cochin,190,0,3,3,6,0,9,10,03-03-2019,0,8001
Air India,Delhi,Cochin,1410,2,1,6,19,45,19,15,01-06-2019,1,10651
Jet Airways,Kolkata,Banglore,1640,1,24,5,16,30,19,50,24-05-2019,1,10844
Multiple carriers,Delhi,Cochin,755,1,27,3,9,45,22,20,27-03-2019,1,6601
Air India,Delhi,Cochin,1455,1,21,3,19,0,19,15,21-03-2019,1,6587
SpiceJet,Mumbai,Hyderabad,80,0,21,3,13,10,14,30,21-03-2019,1,3173
Air India,Banglore,Delhi,165,0,9,5,10,0,12,45,09-05-2019,1,5228
Jet Airways,Banglore,Delhi,180,0,21,6,7,10,10,10,21-06-2019,0,5769
Jet Airways,Delhi,Cochin,660,1,6,6,8,0,19,0,06-06-2019,0,14714
Jet Airways,Delhi,Cochin,810,2,3,6,5,30,19,0,03-06-2019,0,13014
IndiGo,Banglore,Delhi,170,0,3,6,22,10,1,0,03-06-2019,0,3359
GoAir,Banglore,New Delhi,175,0,3,3,20,55,23,50,03-03-2019,1,6722
IndiGo,Kolkata,Banglore,165,0,18,3,9,35,12,20,18-03-2019,1,4462
IndiGo,Delhi,Cochin,675,1,9,3,4,55,16,10,09-03-2019,0,6171
Air India,Kolkata,Banglore,875,2,21,5,5,50,20,25,21-05-2019,0,12303
Multiple carriers,Delhi,Cochin,835,1,21,3,11,40,1,35,21-03-2019,1,7695
IndiGo,Delhi,Cochin,845,1,24,6,11,25,1,30,24-06-2019,1,5684
Air India,Kolkata,Banglore,905,1,12,6,16,50,7,55,12-06-2019,1,8366
Air India,Chennai,Kolkata,135,0,1,3,11,40,13,55,01-03-2019,1,19630
Jet Airways,Banglore,New Delhi,900,1,6,3,14,5,5,5,06-03-2019,1,13502
Jet Airways,Kolkata,Banglore,775,1,1,5,21,10,10,5,01-05-2019,1,14781
Multiple carriers,Delhi,Cochin,540,1,12,6,7,10,16,10,12-06-2019,0,6513
Air India,Delhi,Cochin,735,1,1,6,7,0,19,15,01-06-2019,0,9929
Multiple carriers,Delhi,Cochin,460,2,6,6,17,50,1,30,06-06-2019,1,18275
Air India,Delhi,Cochin,1640,1,9,4,6,5,9,25,09-04-2019,0,4487
IndiGo,Mumbai,Hyderabad,85,0,15,3,21,20,22,45,15-03-2019,1,2754
Air India,Mumbai,Hyderabad,80,0,27,3,6,20,7,40,27-03-2019,0,2575
SpiceJet,Kolkata,Banglore,330,1,12,6,15,55,21,25,12-06-2019,1,8224
Air India,Delhi,Cochin,705,1,9,3,20,30,8,15,09-03-2019,1,8991
IndiGo,Delhi,Cochin,195,0,24,6,5,35,8,50,24-06-2019,0,5000
Jet Airways,Kolkata,Banglore,1495,1,12,6,18,55,19,50,12-06-2019,1,8529
Air India,Delhi,Cochin,1640,1,3,3,6,5,9,25,03-03-2019,0,14042
Jet Airways,Banglore,Delhi,175,0,24,5,11,10,14,5,24-05-2019,1,4030
Jet Airways,Kolkata,Banglore,1025,1,6,6,18,55,12,0,06-06-2019,1,10844
IndiGo,Kolkata,Banglore,160,0,6,5,21,25,0,5,06-05-2019,1,4804
Multiple carriers,Delhi,Cochin,480,1,27,5,17,30,1,30,27-05-2019,1,7308
IndiGo,Banglore,Delhi,180,0,12,5,16,55,19,55,12-05-2019,1,4823
Jet Airways,Delhi,Cochin,1655,1,24,6,9,0,12,35,24-06-2019,1,10262
Jet Airways,Delhi,Cochin,450,1,27,5,20,55,4,25,27-05-2019,1,12898
Air India,Banglore,New Delhi,1375,2,12,3,17,25,16,20,12-03-2019,1,12778
IndiGo,Delhi,Cochin,515,1,3,3,4,45,13,20,03-03-2019,0,14871
Air India,Delhi,Cochin,1795,2,21,3,13,20,19,15,21-03-2019,1,8708
Jet Airways,Kolkata,Banglore,1335,1,6,6,20,0,18,15,06-06-2019,1,10844
SpiceJet,Mumbai,Hyderabad,80,0,6,3,5,45,7,5,06-03-2019,0,4129
IndiGo,Kolkata,Banglore,160,0,18,5,21,25,0,5,18-05-2019,1,4804
Jet Airways,Banglore,Delhi,180,0,6,5,8,20,11,20,06-05-2019,0,7229
Jet Airways,Banglore,New Delhi,730,1,21,3,7,0,19,10,21-03-2019,0,7832
SpiceJet,Chennai,Kolkata,155,0,18,3,9,30,12,5,18-03-2019,1,3859
Multiple carriers,Delhi,Cochin,705,1,6,6,7,30,19,15,06-06-2019,0,9001
Vistara,Banglore,Delhi,155,0,9,5,17,0,19,35,09-05-2019,1,4878
IndiGo,Mumbai,Hyderabad,90,0,3,5,2,35,4,5,03-05-2019,0,2754
Vistara,Banglore,Delhi,160,0,27,6,7,0,9,40,27-06-2019,0,4668
Air Asia,Kolkata,Banglore,155,0,12,5,10,20,12,55,12-05-2019,1,5216
Jet Airways,Delhi,Cochin,1375,2,6,6,5,30,4,25,06-06-2019,0,10368
IndiGo,Delhi,Cochin,880,2,9,3,6,40,21,20,09-03-2019,0,8146
Jet Airways,Delhi,Cochin,925,1,27,3,13,0,4,25,27-03-2019,1,12242
Jet Airways,Banglore,New Delhi,435,1,15,3,8,0,15,15,15-03-2019,0,9134
